index,id,name,username,date,reply_to,content,reply,retweet,like
22,MuridIslamAhmadiyahJan312021salah s,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",nan,"salah satu sumbangan dari anggota digunakan untuk menterjemah Al Quran ke 100 bahasa, seperti di new zealand, dmn Al Quran pertama dengan terjemahan bahasa asli new zealand adalah terjemahan islam ahmadiyah . semua karena Allah Ta’ala ",2,0,0
23,MuridIslamAhmadiyahJan312021oh tahu,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@lentera7777,"oh tahukah sumbangan anggota ahmadiyah untuk apa? untuk membangun mesjid, menerjemahkan Al Quran, mengirim para mubaligh ke pelosok, dll demi menyebarkan Islam di seluruh dunia ",1,0,0
24,DailymateRadioJan312021Khalifa,Dailymate Radio,@dailymateradio,"Jan 31, 2021",nan,Khalifah Ahmadiyah: Kesetiaan Kepada Negara Dan Cinta Tanah Air https://kompasiana.com/kangnanang23/6015ef8f8ede482c9e37c4b3/khalifah-ahmadiyah-kesetiaan-kepada-negara-dan-cinta-tanah-air… #ruangkelas dan kita masih banyak punya berita menarik lainnya di situs https://dailymate.net,0,0,0
25,JangetKinatelonJan312021Masalah,Janget Kinatelon,@kuntorosuwung,"Jan 31, 2021",@poweranger008,"Masalah di Indonesia berakar dr penganiayaan pd kelompok minoritas. Makanya dl Gus Dur memasukkan Konghucu sbg agama.   Nasib Syi'ah, Ahmadiyah, Kejawen, Sunda Wiwitan, Kaharingan dll blm jelas. Masih mengalami diskriminasi yg hebat.",1,0,0
26,ehrJan312021Manusia,ehr,@Behrouz45,"Jan 31, 2021",@geloraco,"Manusia jahanam..salafi dan wahabi aroganya dmna?,kcuali abu janda bilng yg arogan itu syi'ah dan ahmadiyah..mungkin msih bsa slmat dri protes umat islam..",1,0,2
27,billtemporoJan312021GAFATAR,bill temporo,@BillTemporo,"Jan 31, 2021",nan,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,0,0,0
28,ZIDWORLDJan302021Bagi pe,ZID WORLD,@ZamaneWorld,"Jan 30, 2021",nan,"Bagi penganut Ahmadiyah, Yesus (Nabi Isa) setelah disalib tidak wafat, tiga hari kemudian bangkit dan bertemu dengan murid-muridnya. Yesus kemudian pergi ke Srinagar, Kashmir, dan mengembangkan ajarannya di sana hingga wafat pada usia 125 tahun

http://zamane.id/ragam/2190-bagi-penganut-ahmadiyah-yesus-tidak-wafat-setelah-disalib-tapi-pergi-ke-kashmir#.YBWCzyIj_Sw.twitter…",1,6,9
29,~•d`J∆K∆•~Jan302021Mulai d,~ • d` J∆K∆ • ~,@Anonymouslem_A1,"Jan 30, 2021",@Lucille66991,"Mulai dari Syiah, Ahmadiyah sampai Wahyudi dan Blacky Bruno ",0,0,0
30,MuridIslamAhmadiyahJan302021selain ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"selain itu juga, anggota islam ahmadiyah Di masa yang akan datang  akan selalu senantiasa menjauhi syirik, dalam artinya segala aktivitas harus berdasarkan Allah Ta’ala dan hanya untuk merain ridhoNya",1,0,0
31,MuridIslamAhmadiyahJan302021selain ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"selain itu juga, orang2 masuk ahmadiyah karena memang ingin meningkatkan ketakwaannya, salah satunya adalah dengan membiasakan anggota untuk bertahajud..",1,0,0
32,lentera°Jan302021penafsi,lentera°,@halo___lentera,"Jan 30, 2021",@MAhmadiyah,"penafsiran yg tdk bertg jwb, justru yg membuat sy tetap memeluk islam krn keotentikan penafsirannya yg terjaga, alhamdulillah islam bukan ahmadiyah, buat apa kita beragama kalo agama tdk memberikan kepastian?",1,0,0
33,Jan.Jan302021Siapa n,Jan.,@sjnuraisyah,"Jan 30, 2021",nan,"Siapa nama suami kakak ipar?

""Ahmadiyah""

Plisss, namanya Madya, dipanggil A Madya :(",0,0,0
34,FicarJan302021Ada apa,Ficar,@ficar74,"Jan 30, 2021",@LisaAmartatara3,"Ada apa dg negara ini...HTI n FPI tdk diakui hak sbg warga negaranya...sementara komunis, syiah, ahmadiyah, atheis, lgbt, koruptor dibela n di lindungi keberadaannya krn mereka pro kekuasaan rezim setan merah..",0,0,0
35,SaidimanAhmadJan302021Jangan ,Saidiman Ahmad,@saidiman,"Jan 30, 2021",nan,"Jangan kelamaan sowan-sowannya, Pak. Langsung ambil tindakan buka segel rumah-rumah ibadah kelompok minoritas. Kembalikan pengungsi Gafatar dan Ahmadiyah ke rumahnya dengan aman. Jaga komunitas Kristen di Aceh Singkil. Lindungi kelompok minoritas seksual dari persekusi.",5,17,50
36,PakaiMaskerJan302021Jenis 2,Pakai Masker,@fghar135,"Jan 30, 2021",@_ekokuntadhi,"Jenis 2 Islam :
Islam syiah
Islam sunni
Islam ahmadiyah
Islam radikal
Islam moderat
Islam salafi wahabi
Islam kafah
Islam khilafah
Islam abangan
Islam ldii
Islam nusantara dll
Belum lagi 72 golongan firqoh islam 

Islam yg mana yg arogan ",0,0,0
37,ArSyamsuddinJan302021Raffi a,Ar Syamsuddin,@ar_syam21,"Jan 30, 2021",nan,"Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin” Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin”Bismillaahir Rahmaanir Rahiim Oleh: Abdullah Abubakar Batarfie http://Hidayatullah.com | RAFFI Ahmad namanya belakangan ini... https://tmblr.co/ZfoWBXZdtcM_qu00…",0,0,0
38,ArSyamsuddinJan302021Raffi a,Ar Syamsuddin,@ar_syam21,"Jan 30, 2021",nan,"Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin”",0,0,0
39,MuridIslamAhmadiyahJan302021https:/,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",nan,"https://reviewofreligions.org/3036/commentary-on-a-verse-of-the-holy-quran-the-dwellers-of-the-cave/… kalau anda tertarik, bagaimana penafsiran Ahmadiyah ttg Ashabul Kahfi yg lebih masuk akal..",1,0,0
40,MuridIslamAhmadiyahJan302021penafsi,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@lentera7777,"penafsiran ayat Ashabul Kahfi menurut Ahmadiyah bukan seperti yang diceritkan pada umumnya, yakni ada 7 orang yg tidur selama 3 abad. yg jelas, ajaran Islam Ahmadiyah lah yang akan membawa Islam berjaya dengan dukungan dari ilmu pengetahuan yg terus berkembang",1,0,0
41,RakyatbaruJan302021Cabang ,Rakyat baru,@SimamoraUba,"Jan 30, 2021",@OposisiCerdas,"Cabang syiah, cabang ahmadiyah, cabang lia eden ada gak ya ??",0,0,0
42,MuridIslamAhmadiyahJan302021inilah ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"inilah cara ahmadiyah mengajak orang2 masuk islam, yakni menunjukan bahwa islam adalah satu2 nya agama yg tdk bertentangan dengan ilmu pengetahuan  ..",1,0,0
43,JayaS.Jan302021Tapi me,Jaya S.,@JayaMahardhika,"Jan 30, 2021",@JayaMahardhika,"Tapi menurut aku, kalau memang penting bagi jalan cerita, adalah hak penulis mau membuat apapun kepercayaan tokoh-tokohnya: Atheis, Syiah, Ahmadiyah, Aliran Lia Eden....

Masalah dirundung atau di-report itu sudah resiko hidup di negara +62....",0,0,0
44,MuridIslamAhmadiyahJan302021kalau a,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@Oralali_yo,"kalau ahmadiyah sih sama dimana2, tapi saya kurang tau  ya kalau soal syiah,",0,0,0
45,JendralamanJan302021Pemikir,Jendralaman,@jen010373,"Jan 30, 2021",nan,"Pemikiran yg baik pak Menteri, monggo di lanjut keun. Tolong SKB 2 menteri yang membuat rumah ibadah Kristen dan Ahmadiyah ditutup, juga tolong dicabut pak Menteri, agar ke Bhineka an di Bumi Indonesia indah, semoga bapak slalu di ridho i Allah SWT. Amin",0,0,0
46,JangetKinatelonJan302021Yang ng,Janget Kinatelon,@kuntorosuwung,"Jan 30, 2021",@demokrasicoid,Yang ngobok obok negara itu orang yang omongannya membuat Syiah dan Ahmadiyah yang merupakan WNI sah NKRI dianiaya dan didiskriminasi luar biasa.,0,0,4
47,HartonoDjayaJan302021Harusny,Hartono Djaya,@HartonoDjaya,"Jan 30, 2021",@FerdinandHaean3,"Harusnya mereka yg membawa ""islam"" menunjukan gerbongnya...
-NU
-MU
-ahmadiyah
-wahabi
-LDII
dan masih banyak lagi 
Semoga damai NKRI...",0,0,0
48,DedenSujanaJan302021Lanjut ,Deden Sujana,@dedensujana,"Jan 30, 2021",@detikcom,Lanjut ke ormas2 kecil pak seperti Ahmadiyah dan Syiah,0,0,0
49,AlamJan302021Ahmadiy,Alam,@Oralali_yo,"Jan 30, 2021",@MAhmadiyah,Ahmadiyah / Syiah yang di Indonesia apa sama dengan alirab Syiah di Iran ?,1,0,0
50,DedenSujanaJan302021Sejak k,Deden Sujana,@dedensujana,"Jan 30, 2021",@djadjatsud,"Sejak kapan Susi membela toleransi dan pluralisme ketika Minoritas, Ahmadiyah,Syiah, Sunda wiwitan dll di aniaya ?",0,1,0
51,DedenSujanaJan302021Kapan S,Deden Sujana,@dedensujana,"Jan 30, 2021",nan,"Kapan Susi membela Minoritas, Ahmadiyah, Syiah ketika dianiaya ? Tapi kalau 
@permadiaktivis1
 sudah terbukti sepak terjangnya membela #sayabersamapermadi",1,3,2
52,muhammadaliJan292021Polisi ,muhammad ali,@jeponshorse,"Jan 29, 2021",@saidiman,"Polisi di Pakistan mengatakan kepada orang2 Ahmadiyah, sebenarnya kami simpati pada kalian tetapi para mullah/ulama memarahi kami",0,1,2
53,ThomasTayoJan292021Dulu pe,Thomas Tayo,@thomas_or_tayo,"Jan 29, 2021",nan,Dulu pernah ada acara interfaith di sekre teman2 Muslim Ahmadiyah di Jogja dan disuguhi sajian khas mereka tiap ada acara yaitu minuman chai hangat. Ampuuuun enak bangettt! Ada yg pernah bikinkah? Kalau ada bagi resepnya doong hihi ,1,0,3
54,SaidimanAhmadJan292021Tolong ,Saidiman Ahmad,@saidiman,"Jan 29, 2021",nan,"Tolong buka segel masjid Ahmadiyah, kawal warga Ahmadiyah Lombok dan warga Syiah Sampang pulang ke rumahnya dengan aman, pastikan jemaat gereja Filadelfia dan GKI Yasmin bisa beribadah di gerejanya, juga jaga keamanan warga di Aceh Singkil yang ingin bangun gereja, Pak.",8,51,105
55,MuridIslamAhmadiyahJan292021tentu s,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 29, 2021",@lentera7777,"tentu saja orang2 yang beriman dan berakal akan cenderung masuk Ahmadiyah karena mereka yakin Allah tidak akan memberikan ajaran Agama yang bertentangan dengan ilmu pengetahuan, seperti ada manusia yg hidup di langit ",1,0,0
56,DedenSujanaJan292021Kapolri,Deden Sujana,@dedensujana,"Jan 29, 2021",nan,"Kapolri sudah datang ke DPP NU dan Muhamadiyah ,Kapan bisa ketemu dgn Pengurus Besar Jemaah Ahmadiyah ? 
@DivHumas_Polri",0,0,1
57,MuridIslamAhmadiyahJan292021saya ti,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 29, 2021",@halo___lentera,"saya tidak bilang banyak pengikutnya, ahmadiyah itu pengikutnya dikit. tapi banyak yang masuk ahmadiyah karena beristighfar, bershalawat, dan beristikharah meminta petunjuk kepada Allah .",1,0,0
58,FloLibertusJan292021Read th,Flo Libertus,@FloLibertus,"Jan 29, 2021",nan,"Read the comments and see how Indonesia is considered 'medieval'.
It is even unsettling how this thing doesn't bother our government in the name of religious 'tolerance'. Meanwhile in other places, Ahmadiyah & other 'deviant' beliefs are condemned. We're so f-ed up, aren't we? ",0,0,0
59,MuridIslamAhmadiyahJan292021https:/,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 29, 2021",@halo___lentera,"https://ahmadiyah.id/khotbah/kisah-orang-yang-masuk-islam-melalui-ahmadiyah… coba baca ini, banyak orang masuk ahmadiyah karena istikharah dan meminta petunjuk kepada Allah. jadi Ahmadiyah memang buatan Allah Ta'ala melalui Ahmad (as) sebagai ALmasih yang dijanjikan ",1,0,0
60,FPIBANGSATJan292021Mau tau,FPIBANGSAT,@fpibiadabeb,"Jan 29, 2021",@YoanaAline,"Mau tau brp korbanya dan kasusnya fpi apa ?
Kasus ahmadiyah brp korban yg meninggal saat itu ? Ada 4 orang dan puluhan luka""
Kasus penutupan gereja dibandung dan pelarangan ibadah. Loe kira mereka tdk jd korban ?
Penutupan an pengerusakan warung mkn it loe kira tdk ada korban",0,0,0
61,MuridIslamAhmadiyahJan292021anggota,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 29, 2021",@nanadehoney,"anggota ahmadiyah harus taat pada Rasulullah SAW, kalau gini agamanya apa mba? ",0,0,0
62,galeshJan292021Memecah,galesh,@galeshka,"Jan 29, 2021",nan,"Memecah belah dengan stigma, dari komunis, ahmadiyah, syiah, anarko, sekarang HTI & FPI...",0,0,0
63,lentera°Jan292021soalnya,lentera°,@halo___lentera,"Jan 29, 2021",@MAhmadiyah,soalnya ahmadiyah justru bikin mazhab 5 di luar islam ,1,0,0
64,romliJan292021ahmadiy,romli,@rpanggahza,"Jan 29, 2021",@BinsarNixon____,"ahmadiyah kapan nih bs beribadah tanpa dipasung SKB..
@YaqutCQoumas
 @dedensujana",1,0,1
65,billtemporoJan292021GAFATAR,bill temporo,@BillTemporo,"Jan 29, 2021",nan,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,0,0,0
66,PaktaniJan292021Ntar ca,Paktani,@Paktaninyangkul,"Jan 29, 2021",@VIVAcoid,Ntar cabang ahmadiyah.,0,0,0
67,NanadehoneyJan292021Kalo so,Nanadehoney,@nanadehoney,"Jan 29, 2021",@cesyaalmeerahma,Kalo soal nama islami.. Yg ahmadiyah dan syiah namanya islami semua lho.. Tapi kan bukan muslim,1,0,1
68,MuridIslamAhmadiyahJan292021ya itu ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 29, 2021",@halo___lentera,"ya itu kan di menurut kacamata anda. makanya sebaiknya anda konfirmasi ke Allah melalui istighfar, shalawat, dan istikharah. apakah benr ahmadiyah itu jalan dari Allah untuk mengembalikan kemurnian Islam. kalau ternyata benar, tapi anda menolaknya, nanti di akhirat menyesal ",1,0,0
69,Ujengygbanggadg75followerJan292021Jangan ,Ujeng yg bangga dg 75 follower,@debu2_digital,"Jan 29, 2021",@ZAEffendy,"Jangan cuma permadi, masih banyak yg lain.
Mereka di pelihara.
Titik awal Juni 2008, acara ahmadiyah (AKK-BB) di Monas yg tanpa izin.",0,0,1
70,FandJan292021Cabang ,Fand,@Fandiesta5758,"Jan 29, 2021",@Joker_Ulosowo,Cabang Ahmadiyah.,0,0,1
71,SiMeongJan292021Cabang ,Si Meong,@Rajadero1,"Jan 29, 2021",@Sanfonima,"Cabang Yahudi
Cabang Hindu
Cabang Syi'ah
Cabang Ahmadiyah
Cabang Komunis
Cabang Liberal
Cabang Konghuchu
Cabang Atheis",1,0,1
72,lentera°Jan292021bukanny,lentera°,@halo___lentera,"Jan 29, 2021",@MAhmadiyah,"bukannya malah mengembalikan kemurnian islam, ahmadiyah justru menodai islam, tidak hanya itu keluar dari islam ",1,0,0
73,NurAinunJan292021Maksud ,Nur Ainun,@bundasfajri,"Jan 29, 2021",@saguna_pitara,Maksud lo ahmadiyah?,0,0,1
74,RicoTsangJan29202110 th E,RicoTsang,@IndonesiaMaju21,"Jan 29, 2021",@saguna_pitara,"10 th Era SBY Aktivitas FPI malah lebih sering benturan dngn kelompok lain, Krn mrk sering menertibkan perjudian, prostitusi dan aliran Sesat seperti Ahmadiyah, tapi apakah di Zaman SBY FPI di kriminalisasi sperti skrng. TENTU TIDAK. Krn SBY sangat menghargai Demokrasi.",0,0,0
75,DedenSujanaJan292021Jemaah ,Deden Sujana,@dedensujana,"Jan 29, 2021",nan,"Jemaah Ahmadiyah menjawab https://sikandargumay051.wordpress.com/2021/01/28/ahmadiyah-menjawab-tuduhan-bagian-2/… 
@Iskandargumay1",0,0,0
76,sekarepkuJan282021Orang b,sekarepku,@sekar_epku,"Jan 28, 2021",@putucangkiriku,"Orang biasa dongo atau biasa tolol?
Rafi jelas genetik ahmadiyah, nggak usah nanya karya gue, jelas fokusnya cecunguk mirza ghulam ahmad",2,0,1
77,DavidChristianJan282021Lebih k,David Christian,@lohpedd,"Jan 28, 2021",@KatolikG,Lebih ke ahmadiyah gak sih?,0,0,1
78,FicarJan282021Serakah,Ficar,@ficar74,"Jan 28, 2021",@PutraWadapi,"Serakah banget en u...mgkn ada jg en u cabang syiah, en u cabang ahmadiyah, en u cabang komunis...kyk tmpt sampah aja semua dimasukin...",1,0,0
79,RezaSyariati(ر)Jan282021Berita ,Reza Syariati (ر),@Herrreza,"Jan 28, 2021",nan,Berita kedemenan umat nih.. tapi biasanya di Amerika dan Eropa itu banyakan islam ahmadiyah,0,2,3
80,DedenSujanaJan282021Penyesa,Deden Sujana,@dedensujana,"Jan 28, 2021",nan,"Penyesalan terbesar saya seumur hidup pernah berfoto sama Shamsir Ali yg botak ditengah ,mubalig yg dipecat Khalifah Jemaah Ahmadiyah krn melanggar Nizam",0,0,0
81,lentera°Jan282021ahmadiy,lentera°,@halo___lentera,"Jan 28, 2021",@MAhmadiyah,"ahmadiyah membajak kemurnian islam, knp ndompleng ke sunni? knp gk ndompleng aja ke syiah atau ibadi?",1,0,0
82,MuridIslamAhmadiyahJan282021kami an,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@FKadrun,kami anggota ahmadiyah bersyahadat kok pak ,0,0,0
83,"MuridIslamAhmadiyahJan282021engga, ",MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@elmahfudzi,"engga, inggris ga ada hubungannya sama Ahmadiyah..",0,0,0
84,PoetriSoedartoJan282021Jadi ka,Poetri Soedarto,@MelPoetri,"Jan 28, 2021",@MAhmadiyah,"Jadi kamu termasuk golongan yg mana, Ahmadiyah Qadian atau Ahmadiyah Lahore ?",1,0,0
85,JawhedJan282021Sok tau,Jawhed,@elmahfudzi,"Jan 28, 2021",@IrutPagut,"Sok tau yaa gitu asal jeplak..Hahahaa, Ahamdiyah gerakan Islam di India melawan Ingrish, Kakeknya Rafly hidup sampe tahun berapa di Indonesia ?  Ahmadiyah dikatakan sesat pada tahun 1980.",1,0,0
86,MuridIslamAhmadiyahJan282021baca An,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@mas_taqien,"baca An Nahl : 125 dan Al-An’am: 117. hanya Allah mengetahui siapa yang tersesat, bukan Manusia. silahkan anda beristikharah, istigfhar dan shalawat memohon petunjuk mengenai Ahmadiyah, insyaAllah jawaban yg didapatkan akan berbeda dari fatwa MUI",0,0,0
87,MuridIslamAhmadiyahJan282021baca An,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@MelPoetri,"baca An Nahl : 125 dan Al-An’am: 117. hanya Allah mengetahui siapa yang tersesat, bukan Manusia. silahkan anda beristikharah, istigfhar dan shalawat memohon petunjuk mengenai Ahmadiyah, insyaAllah jawaban yg didapatkan akan berbeda dari fatwa MUI/RAbitah, atau siapapun ",2,0,0
88,IG:WarungSejarahRIJan282021Ahmadiy,IG: WarungSejarahRI,@WarungSejarahRI,"Jan 28, 2021",nan,"Ahmadiyah Dalam Persoalan

Oleh : Fawzy Sa'ied Thaha 

Tahun 1981
438  Halaman

Harga 75.000 
Minat?

Order:
✓DM or Klik WA http://bit.ly/warungsejarahRI",0,0,1
89,anomtulusmanembahJan282021Khalifa,anom tulus manembah,@anomtulus,"Jan 28, 2021",@_ekokuntadhi,"Khalifah merupakan anugrah Tuhan, namun membangunkan khalifah islam seperti dahulu kala memang mengerikan. 

Konsep khilafah secara keruhanian telah ditampilkan Ahmadiyah, khalifah dengan cara pandang dan nalar yg baik",0,0,0
90,yudhaJan282021Sekaran,yudha,@yudha4efah,"Jan 28, 2021",@yudha4efah,Sekarang gue mau tanya ama lu bro adakah undang-undang atau perpu atau Perpres yang melarang eksistensi Ahmadiyah spt pelarangan eksistensi HTI & FPI ?,0,0,1
91,LieChingJan282021Raffi a,Lie Ching,@LieChing12,"Jan 28, 2021",nan,"Raffi ahmad,  Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin”",0,0,0
92,AHMADIYAHBULUKUMBAJan282021Muslim.,AHMADIYAH BULUKUMBA,@Celestinohorna1,"Jan 28, 2021",nan,"Muslim.Ahmadiyah Indonesia
Cab.Bulukumba",1,0,2
93,"MuridIslamAhmadiyahJan282021tuh, ud",MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@mas_taqien,"tuh, udh sy fotoin Al Quran saya, silahkan dicheck Ali Imran nya... mungkin anda salah melihat penomeran ayat. Di cetakan Al Quran Ahmadiyah, bismillah dihitung sebagai ayat 1.",0,0,0
94,MuridIslamAhmadiyahJan282021apa sud,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 28, 2021",@halo___lentera,"apa sudah anda sudah konfirmasi ke Allah melalui istighfar, shalawat, dan istikharah kalau ahmadiyah bukan buatan Allah? ",1,0,0
